ct_onehot__job__title_categorized_Education,ct_onehot__job__title_categorized_Energy/Utilities,ct_onehot__job__title_categorized_Finance,ct_onehot__job__title_categorized_Government/Civil Service,ct_onehot__job__title_categorized_Healthcare,ct_onehot__job__title_categorized_Legal/Law,ct_onehot__job__title_categorized_Manufacturing/Engineering,ct_onehot__job__title_categorized_Military,ct_onehot__job__title_categorized_Retail/Hospitality,ct_onehot__job__title_categorized_Self-Employed,ct_onehot__job__title_categorized_Tech/Telecom,ct_onehot__job__title_categorized_Transportation/Logistics,ct_onehot__purpose__purpose_clustered_life,ct_onehot__purpose__purpose_clustered_other,ct_scale__skew__installment_sqrt,ct_scale__skew__total_acc_sqrt,ct_pass__date__time_to_last_payment,ct_pass__date__pull_after_issue,ct_pass__state__north_state_address,ct_pass__progress__loan_to_income_full_period,basic_num__dti,basic_num__annual_income,basic_num__emp_years,basic_num__sub_grade_numeric,basic_cat__home_ownership_OTHER,basic_cat__home_ownership_OWN,basic_cat__home_ownership_RENT,basic_cat__loan_status_Current,basic_cat__verification_status_Source Verified,basic_cat__verification_status_Verified,basic_cat__term_months_60
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.085728913347188,0.29150653850711794,2.5076716442106646,0.0,1.0,0.04909090909090909,-0.8561917352793255,0.28549769291983484,0.568423293802131,1.9121634910480982,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0936329636583144,-0.894320466799723,-0.4280112478772274,1.0,1.0,0.05,0.18190134168902009,-0.6788397445516509,-0.8349724399581578,-1.026696355429166,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1877782996896027,1.061717072727525,-0.4280112478772274,0.0,1.0,0.06944444444444445,0.010886008200015269,0.7832202412922146,0.007065000298015461,1.0305055371049192,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4881688191335734,-2.1042988695087383,-0.4280112478772274,0.0,0.0,0.026194218221650713,-1.5297521277053185,-0.6477943005969237,-1.3963307334622734,1.1774485294287826,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9362535448528367,-0.6649398788987777,-0.4280112478772274,1.0,0.0,0.09875,1.3985104246678182,-0.46108612963873474,1.4104607340583042,1.3243915217526456,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0279955162458982,0.45682574250684266,-0.4280112478772274,0.0,1.0,0.12193932299287874,-0.1796310738447534,-0.02029059773644595,1.1297815873062464,-0.29198139380984967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6326544629398129,-0.5564080850761235,-0.4280112478772274,1.0,1.0,0.07111111111111111,-0.2561379335635189,-0.15000953690599741,0.568423293802131,0.14884758316174007,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5239071244606581,-0.4514376333777054,-0.4280112478772274,0.0,1.0,0.07478033277248083,1.458515804839399,-0.41765983729324463,1.4104607340583042,2.0591064833719614,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722948295270601,0.8442108379769998,-0.4280112478772274,1.0,0.0,0.04487179487179487,-0.27713981662357207,0.5343589671060247,1.1297815873062464,-0.29198139380984967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.701893615077771,0.20626190430964644,1.619377467110039,0.0,0.0,0.02564102564102564,0.7429516462932991,-0.07224038872281309,-1.3963307334622734,0.7366195524571929,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3427115360283991,0.5370993526203013,2.876788059549565,1.0,0.0,0.032,0.34991640616944575,0.7832202412922146,-1.3963307334622734,1.9121634910480982,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.4170441899271435,0.29150653850711794,-0.4280112478772274,1.0,0.0,0.022222222222222223,-0.5546646999171327,0.3166053521931086,-0.8349724399581578,-0.29198139380984967,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7177681355566019,-0.06125002427645,-0.4280112478772274,0.0,0.0,0.11162790697674418,0.9544706113981211,-0.4144246407288242,-0.8349724399581578,-0.8797533631053026,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.4880064801919591,0.37499298468781095,2.8181433954303006,1.0,1.0,0.04083333333333333,0.8659626756450397,-0.3366554925456398,1.4104607340583042,-0.7328103707814394,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0236831421938861,-0.2509119403538733,-0.4280112478772274,1.0,0.0,0.046701692936368944,0.6799459971131397,-0.6391774789782269,0.28774414705007323,-0.5858673784575762,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7614389533057144,0.37499298468781095,2.9233588222325104,1.0,0.0,0.10076923076923076,0.6664447865745339,-0.2744401739990924,-0.2736141464540423,2.940764437315141,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21780245634413126,2.6974693612657643,-0.4280112478772274,1.0,0.0,0.05714285714285714,-0.43465393957397125,-0.429978470365461,1.4104607340583042,-0.7328103707814394,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6441845320934605,1.4696460567356868,-0.4280112478772274,1.0,1.0,0.0352,-0.8561917352793255,0.8609893894753989,0.568423293802131,-0.7328103707814394,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.08976442320267324,0.6158996768617491,-0.4280112478772274,1.0,0.0,0.02142857142857143,-0.8861944253651158,0.6587896041991197,-0.5542932932061001,0.4427335678094665,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0720055655794853,0.5370993526203013,1.353751635511017,0.0,1.0,0.0380952380952381,0.7009478801731928,-0.5388552778219191,0.568423293802131,-1.026696355429166,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5422732354807196,1.132069366032151,1.724592893912249,1.0,0.0,0.0616822429906542,0.5584351022656889,0.5810204560159353,-1.1156515867102157,0.14884758316174007,0.0,0.0,0.0,0.0,0.0,1.0,0.0
