iter	Logloss
0	0.6882082726
1	0.6830264493
2	0.6787421464
3	0.6746729518
4	0.6698506427
5	0.6655191372
6	0.6610349901
7	0.6578041947
8	0.6547301491
9	0.650633358
10	0.6470340988
11	0.6442001047
12	0.6421336265
13	0.6385849027
14	0.6349152821
15	0.6313412567
16	0.6281398782
17	0.625321614
18	0.6223346932
19	0.6185616944
20	0.6159718372
21	0.6134920323
22	0.6112941808
23	0.6083402072
24	0.6065496426
25	0.6043703857
26	0.6019947975
27	0.6000413587
28	0.5989885083
29	0.598180412
30	0.5956315859
31	0.5931351919
32	0.5905535779
33	0.5880327555
34	0.5859911405
35	0.5848528253
36	0.5839880763
37	0.5826665562
38	0.5806353047
39	0.5795868649
40	0.5781985762
41	0.576979615
42	0.575520751
43	0.5741194238
44	0.5727298146
45	0.5712191368
46	0.5702431699
47	0.5692681148
48	0.5679826425
49	0.5674996603
50	0.5667492426
51	0.5653770989
52	0.5647759531
53	0.5633290584
54	0.5624530728
55	0.5619394673
56	0.5613409036
57	0.5602273944
58	0.5589495075
59	0.5581944442
60	0.5570410451
61	0.5560968595
62	0.5555214895
63	0.5545694091
64	0.5540671272
65	0.5537256002
66	0.5525120766
67	0.5519385428
68	0.55135157
69	0.5503396819
70	0.5496882089
71	0.5489137259
72	0.5483676125
73	0.5470207938
74	0.5466397651
75	0.5458342471
76	0.5448894641
77	0.544056865
78	0.5436257457
79	0.5430461659
80	0.542260026
81	0.5414987281
82	0.5411247844
83	0.5400875052
84	0.5398928836
85	0.5392782429
86	0.5390849011
87	0.5382775068
88	0.5376354665
89	0.5373651857
90	0.5369810014
91	0.535919828
92	0.5355640467
93	0.5345392202
94	0.5341310068
95	0.5338258164
96	0.5335321112
97	0.5328864477
98	0.5320321758
99	0.5311261732
100	0.5305793858
101	0.5300706699
102	0.5294727735
103	0.529253652
104	0.5290144505
105	0.5287413427
106	0.5282117312
107	0.5276772681
108	0.5271930384
109	0.5266590003
110	0.5263944993
111	0.5259519326
112	0.5252293508
113	0.5246546103
114	0.5244095731
115	0.52420876
116	0.5236001158
117	0.5232535043
118	0.522705202
119	0.5222712732
120	0.5220463124
121	0.5214684071
122	0.5211316405
123	0.520999972
124	0.5207613905
125	0.5204507235
126	0.5198676822
127	0.5194403779
128	0.5190728353
129	0.5188376192
130	0.5184166209
131	0.5182919922
132	0.5176469544
133	0.5173267392
134	0.5172064167
135	0.5168190502
136	0.5164533387
137	0.5160479943
138	0.5159363596
139	0.5157640792
140	0.5157016112
141	0.5153206078
142	0.5147797234
143	0.5143049246
144	0.5141642759
145	0.5139167055
146	0.5138205579
147	0.5136286675
148	0.5132488667
149	0.5127512987
150	0.5124445476
151	0.51232124
152	0.5115614156
153	0.5113291747
154	0.5109005057
155	0.5106527505
156	0.5104544393
157	0.5103303958
158	0.5101053414
159	0.5098477298
160	0.5095719557
161	0.5091840471
162	0.5090481316
163	0.5088684012
164	0.5084370912
165	0.5083329052
166	0.5082355523
167	0.5079399863
168	0.5073266097
169	0.5072964343
170	0.5070202103
171	0.5066659366
172	0.5065099322
173	0.5064060336
174	0.5062283257
175	0.5060771075
176	0.5058884759
177	0.5055004578
178	0.505358883
179	0.5051885008
